loan_id,grade,home_ownership,purpose,verification_status,term,emp_length_int,mths_since_issue_d,int_rate,mths_since_earliest_cr_line,acc_now_delinq,inq_last_6mths,annual_inc,dti,good_bad
14840,C,RENT,debt_consolidation,Verified,60 months,7,54,15.8,231,0.0,1,105000.0,7.56,1
20011,B,RENT,debt_consolidation,Verified,36 months,2,47,9.67,145,0.0,0,54000.0,24.64,1
8415,E,RENT,debt_consolidation,Verified,60 months,0,48,21.48,118,0.0,2,30000.0,17.76,1
7876,A,RENT,debt_consolidation,Source Verified,36 months,10,71,7.9,216,,0,35000.0,21.87,1
11837,C,MORTGAGE,major_purchase,Source Verified,36 months,10,46,14.16,202,0.0,1,62570.0,12.54,1
19188,C,RENT,debt_consolidation,Not Verified,36 months,10,41,14.99,171,0.0,0,43000.0,29.05,1
7582,C,RENT,debt_consolidation,Not Verified,36 months,1,50,15.1,192,0.0,0,42000.0,27.57,1
2930,E,MORTGAGE,home_improvement,Verified,60 months,10,53,20.8,210,0.0,0,83000.0,22.34,1
4880,A,MORTGAGE,debt_consolidation,Not Verified,36 months,3,37,7.12,131,0.0,0,75000.0,15.46,1
19102,D,RENT,debt_consolidation,Not Verified,36 months,10,40,17.57,463,0.0,0,90000.0,7.51,1
8388,C,RENT,debt_consolidation,Verified,36 months,0,48,16.2,231,0.0,0,95000.0,7.83,1
27876,A,MORTGAGE,debt_consolidation,Not Verified,36 months,2,41,6.03,209,0.0,0,54000.0,13.93,1
4445,D,MORTGAGE,debt_consolidation,Not Verified,36 months,10,62,17.77,313,0.0,3,93000.0,23.46,1
27026,C,OWN,debt_consolidation,Source Verified,36 months,3,41,13.35,199,0.0,2,46600.0,12.85,1
27846,D,MORTGAGE,debt_consolidation,Verified,60 months,6,63,19.05,132,,1,89000.0,8.18,1
419,D,MORTGAGE,debt_consolidation,Verified,60 months,0,40,17.57,162,0.0,1,90000.0,14.88,1
9595,D,MORTGAGE,debt_consolidation,Source Verified,60 months,6,42,18.24,207,0.0,0,47000.0,20.61,1
28306,B,RENT,debt_consolidation,Not Verified,36 months,0,53,12.35,128,,0,28000.0,4.89,1
26837,A,MORTGAGE,debt_consolidation,Not Verified,36 months,4,58,7.62,531,,3,80000.0,22.15,1
3385,B,MORTGAGE,debt_consolidation,Source Verified,36 months,5,45,12.99,150,0.0,0,70000.0,11.52,1
10190,B,MORTGAGE,debt_consolidation,Verified,36 months,10,41,12.49,100,0.0,1,34000.0,20.83,1
1867,D,RENT,debt_consolidation,Source Verified,36 months,0,50,17.76,170,0.0,0,55000.0,23.54,1
8860,C,MORTGAGE,credit_card,Source Verified,60 months,6,42,13.98,377,0.0,0,30000.0,33.2,1
22531,C,RENT,debt_consolidation,Not Verified,60 months,6,87,13.98,264,0.0,0,39000.0,13.29,1
5686,B,RENT,debt_consolidation,Verified,36 months,4,47,13.53,234,,0,115516.05,14.38,1
8475,B,RENT,debt_consolidation,Not Verified,36 months,10,37,9.49,323,0.0,0,50000.0,26.5,1
28070,C,MORTGAGE,debt_consolidation,Verified,60 months,10,71,13.49,269,0.0,2,33000.0,18.87,1
20903,E,RENT,medical,Verified,36 months,6,54,21.0,354,0.0,0,560000.0,8.55,1
1935,F,MORTGAGE,vacation,Verified,36 months,5,41,23.43,148,0.0,1,98000.0,20.1,1
21065,C,MORTGAGE,debt_consolidation,Source Verified,36 months,10,45,13.65,219,0.0,2,70000.0,21.6,1
12773,D,MORTGAGE,debt_consolidation,Not Verified,60 months,7,70,17.99,160,0.0,3,80000.0,11.48,1
889,A,RENT,major_purchase,Verified,36 months,5,48,8.9,153,0.0,1,120000.0,13.85,1
1991,C,MORTGAGE,debt_consolidation,Verified,60 months,10,38,14.49,255,0.0,0,72000.0,15.53,1
11984,B,RENT,credit_card,Verified,36 months,7,52,12.35,141,0.0,1,23000.0,28.64,1
28798,D,MORTGAGE,debt_consolidation,Verified,60 months,7,61,18.75,230,0.0,0,100000.0,15.17,1
21108,C,OWN,other,Source Verified,60 months,5,48,17.1,278,0.0,0,150000.0,25.06,1
